PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS
1,1,Travis Kelce,KC,20.9
2,1,Darren Waller,LV,17.4
3,1,George Kittle,SF,15.6
4,2,T.J. Hockenson,DET,11
5,2,Mark Andrews,BAL,12.2
6,2,Kyle Pitts,ATL,0
7,2,Noah Fant,DEN,10
8,2,Dallas Goedert,PHI,10.6
9,3,Logan Thomas,WAS,11
10,3,Robert Tonyan,GB,11
11,3,Tyler Higbee,LAR,8.5
12,3,Mike Gesicki,MIA,10.6
13,3,Irv Smith Jr.,MIN,7.6
14,3,Evan Engram,NYG,8.8
15,3,Jonnu Smith,NE,9.3
16,4,Hunter Henry,NE,10.4
17,4,Blake Jarwin,DAL,2.2
18,4,Rob Gronkowski,TB,9.3
19,4,Cole Kmet,CHI,3.9
20,4,Adam Trautman,NO,2.5
21,4,Austin Hooper,CLE,8.7
22,4,Gerald Everett,SEA,5.8
23,4,Jared Cook,LAC,8.5
24,4,Eric Ebron,PIT,9.5
25,4,Zach Ertz,PHI,7
26,4,Anthony Firkser,TEN,5.2
27,4,Hayden Hurst,ATL,9.3
28,5,Dawson Knox,BUF,5.6
29,5,O.J. Howard,TB,9.4
30,5,Chris Herndon IV,NYJ,4.6
31,5,Dan Arnold,CAR,6
32,5,Jack Doyle,IND,4.6
33,5,Jimmy Graham,CHI,9
34,5,Kyle Rudolph,NYG,5.5
35,5,Ian Thomas,CAR,2.5
36,6,Dalton Schultz,DAL,9.2
37,6,Will Dissly,SEA,3.8
38,6,Mo Alie-Cox,IND,5.4
39,6,Jordan Akins,HOU,6.4
40,6,Donald Parham Jr.,LAC,3.4
41,6,David Njoku,CLE,4
42,6,Pat Freiermuth,PIT,0
43,6,C.J. Uzomah,CIN,11.3
44,6,Harrison Bryant,CLE,4.1
45,6,Drew Sample,CIN,4.9
46,6,Albert Okwuegbunam,DEN,7.3
47,7,Cameron Brate,TB,4.3
48,7,Tyler Conklin,MIN,2.8
49,7,Tyler Eifert,FA,5.5
50,7,Jacob Hollister,BUF,4.1
51,7,Brevin Jordan,HOU,0
52,7,Foster Moreau,LV,2.1
53,7,Hunter Long,MIA,0
54,7,Geoff Swaim,TEN,2.3
55,7,Maxx Williams,ARI,2.7
56,7,James O'Shaughnessy,JAC,3.6
57,7,Jace Sternberger,GB,2.4
58,7,Ryan Griffin,NYJ,1.2
59,7,Darren Fells,DET,4.8
60,7,Brycen Hopkins,LAR,0
61,7,Tommy Tremble,CAR,0
62,7,Kahale Warring,HOU,0.9
63,8,Jacob Harris,LAR,0
64,8,Kylen Granson,IND,0
65,8,Josh Oliver,BAL,0
66,8,Tyler Kroft,NYJ,4.2
67,8,Tim Tebow,JAC,0
68,8,Trey Burton,FA,6.4
69,8,Nick Boyle,BAL,4.1
70,8,Noah Gray,KC,0
71,8,Tre' McKitty,LAC,0
72,8,Nick Vannett,NO,2
73,8,Adam Shaheen,MIA,2.8
74,8,Richard Rodgers,PHI,5
75,8,Devin Asiasi,NE,1.5
76,8,Hunter Bryant,DET,1.1
77,8,Josiah Deguara,GB,1.1
78,8,Ross Dwelley,SF,3.1
79,8,Chris Manhertz,JAC,0.7
80,9,Darrell Daniels,ARI,1.9
81,9,Kenny Yeboah,NYJ,0
82,9,John Bates,WAS,0
83,9,Marcedes Lewis,GB,2.6
84,9,Blake Bell,KC,1.4
85,9,Colby Parkinson,SEA,0.6
86,9,Durham Smythe,MIA,3.9
87,9,Dalton Keene,NE,0.8
88,9,Pharaoh Brown,HOU,3.3
89,9,Johnny Mundt,LAR,0.6
90,9,Luke Farrell,JAC,0
91,9,Jared Pinkney,TEN,0
92,9,Ryan Izzo,HOU,2.6
93,9,Jeremy Sprinkle,DAL,0.1
94,9,Nick Keizer,KC,0.6
95,9,Thaddeus Moss,CIN,0
96,9,Troy Fumagalli,NE,2.8
97,9,Tyler Davis,JAC,0
98,9,Tommy Sweeney,BUF,0
99,9,Kaden Smith,NYG,1.9
100,9,Garrett Griffin,NO,0
101,10,Charlie Woerner,SF,0.5
102,10,Jaeden Graham,ATL,0.3
103,10,Caleb Wilson,PHI,0
104,10,Derek Carrier,LV,0.1
105,10,Zach Davidson,MIN,0
106,10,Jordan Thomas,IND,1.2
107,10,Ricky Seals-Jones,WAS,0
108,10,Ethan Wolf,NO,0
109,10,Jason Croom,PHI,1.8
110,10,Ross Travis,ARI,0
111,10,Stephen Anderson,LAC,1.2
112,10,Brandon Dillon,MIN,0.5
113,10,Hunter Thedford,DET,0
114,10,Stephen Sullivan,CAR,0
115,10,Zach Gentry,PIT,0
116,10,Lee Smith,ATL,1.9
117,10,J.P. Holtz,CHI,0
118,10,Austin Fort,DEN,0
119,10,Daniel Brown,NYJ,0.3
120,10,Stephen Carlson,CLE,0.3
121,11,Mason Schreck,CIN,0
122,11,Tyler Mabry,SEA,0
123,11,Tanner Hudson,TB,0.6
124,11,Temarrick Hemingway,WAS,0.3
