"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Travis Kelce",KC,"0","0","0","0","0","0","0","0"
"2",1,"Mark Andrews",BAL,"0","0","0","0","0","0","0","0"
"3",1,"T.J. Hockenson",MIN,"0","0","0","0","0","0","0","0"
"4",2,"Darren Waller",NYG,"0","0","0","0","0","0","0","0"
"5",2,"George Kittle",SF,"0","0","0","0","0","0","0","0"
"6",2,"Dallas Goedert",PHI,"0","0","0","0","0","0","0","0"
"7",2,"Kyle Pitts",ATL,"0","0","0","0","0","0","0","0"
"8",2,"Evan Engram",JAC,"0","0","0","0","0","0","0","0"
"9",2,"Pat Freiermuth",PIT,"0","0","0","0","0","0","0","0"
"10",3,"David Njoku",CLE,"0","0","0","0","0","0","0","0"
"11",3,"Dalton Schultz",HOU,"0","0","0","0","0","0","0","0"
"12",3,"Tyler Higbee",LAR,"0","0","0","0","0","0","0","0"
"13",3,"Chigoziem Okonkwo",TEN,"0","0","0","0","0","0","0","0"
"14",3,"Cole Kmet",CHI,"0","0","0","0","0","0","0","0"
"15",3,"Dalton Kincaid",BUF,"0","0","0","0","0","0","0","0"
"16",3,"Gerald Everett",LAC,"0","0","0","0","0","0","0","0"
"17",3,"Greg Dulcich",DEN,"0","0","0","0","0","0","0","0"
"18",3,"Juwan Johnson",NO,"0","0","0","0","0","0","0","0"
"19",4,"Sam LaPorta",DET,"0","0","0","0","0","0","0","0"
"20",4,"Irv Smith Jr.",CIN,"0","0","0","0","0","0","0","0"
"21",4,"Hayden Hurst",CAR,"0","0","0","0","0","0","0","0"
"22",4,"Hunter Henry",NE,"0","0","0","0","0","0","0","0"
"23",4,"Dawson Knox",BUF,"0","0","0","0","0","0","0","0"
"24",4,"Mike Gesicki",NE,"0","0","0","0","0","0","0","0"
"25",4,"Trey McBride",ARI,"0","0","0","0","0","0","0","0"
"26",4,"Zach Ertz",ARI,"0","0","0","0","0","0","0","0"
"27",4,"Noah Fant",SEA,"0","0","0","0","0","0","0","0"
"28",4,"Michael Mayer",LV,"0","0","0","0","0","0","0","0"
"29",5,"Cade Otton",TB,"0","0","0","0","0","0","0","0"
"30",5,"Jelani Woods",IND,"0","0","0","0","0","0","0","0"
"31",5,"Taysom Hill",NO,"0","0","0","0","0","0","0","0"
"32",5,"Jake Ferguson",DAL,"0","0","0","0","0","0","0","0"
"33",5,"Isaiah Likely",BAL,"0","0","0","0","0","0","0","0"
"34",5,"Luke Musgrave",GB,"0","0","0","0","0","0","0","0"
"35",5,"Tyler Conklin",NYJ,"0","0","0","0","0","0","0","0"
"36",5,"Logan Thomas",WAS,"0","0","0","0","0","0","0","0"
"37",5,"Austin Hooper",LV,"0","0","0","0","0","0","0","0"
"38",5,"Daniel Bellinger",NYG,"0","0","0","0","0","0","0","0"
"39",6,"Robert Tonyan",CHI,"0","0","0","0","0","0","0","0"
"40",6,"Adam Trautman",DEN,"0","0","0","0","0","0","0","0"
"41",6,"Luke Schoonmaker",DAL,"0","0","0","0","0","0","0","0"
"42",6,"Jonnu Smith",ATL,"0","0","0","0","0","0","0","0"
"43",6,"Darnell Washington",PIT,"0","0","0","0","0","0","0","0"
"44",6,"Foster Moreau",NO,"0","0","0","0","0","0","0","0"
"45",6,"Albert Okwuegbunam",DEN,"0","0","0","0","0","0","0","0"
"46",6,"Donald Parham Jr.",LAC,"0","0","0","0","0","0","0","0"
"47",6,"Noah Gray",KC,"0","0","0","0","0","0","0","0"
"48",6,"Will Dissly",SEA,"0","0","0","0","0","0","0","0"
"49",6,"Tucker Kraft",GB,"0","0","0","0","0","0","0","0"
"50",6,"Brevin Jordan",HOU,"0","0","0","0","0","0","0","0"
"51",6,"Mo Alie-Cox",IND,"0","0","0","0","0","0","0","0"
"52",6,"Cole Turner",WAS,"0","0","0","0","0","0","0","0"
"53",6,"Durham Smythe",MIA,"0","0","0","0","0","0","0","0"
"54",7,"C.J. Uzomah",NYJ,"0","0","0","0","0","0","0","0"
"55",7,"Harrison Bryant",CLE,"0","0","0","0","0","0","0","0"
"56",7,"Kylen Granson",IND,"0","0","0","0","0","0","0","0"
"57",7,"Peyton Hendershot",DAL,"0","0","0","0","0","0","0","0"
"58",7,"Jordan Akins",CLE,"0","0","0","0","0","0","0","0"
"59",7,"Brock Wright",DET,"0","0","0","0","0","0","0","0"
"60",7,"Colby Parkinson",SEA,"0","0","0","0","0","0","0","0"
"61",7,"Tommy Tremble",CAR,"0","0","0","0","0","0","0","0"
"62",7,"Brenton Strange",JAC,"0","0","0","0","0","0","0","0"
"63",7,"Jeremy Ruckert",NYJ,"0","0","0","0","0","0","0","0"
"64",7,"Josh Oliver",MIN,"0","0","0","0","0","0","0","0"
"65",7,"Hunter Long",LAR,"0","0","0","0","0","0","0","0"
"66",7,"James Mitchell",DET,"0","0","0","0","0","0","0","0"
"67",7,"Elijah Higgins",MIA,"0","0","0","0","0","0","0","0"
"68",7,"Josiah Deguara",GB,"0","0","0","0","0","0","0","0"
"69",7,"John Bates",WAS,"0","0","0","0","0","0","0","0"
"70",8,"Ian Thomas",CAR,"0","0","0","0","0","0","0","0"
"71",8,"Zack Kuntz",NYJ,"0","0","0","0","0","0","0","0"
"72",8,"Charlie Kolar",BAL,"0","0","0","0","0","0","0","0"
"73",8,"Tre' McKitty",LAC,"0","0","0","0","0","0","0","0"
"74",8,"Teagan Quitoriano",HOU,"0","0","0","0","0","0","0","0"
"75",8,"Josh Whyle",TEN,"0","0","0","0","0","0","0","0"
"76",8,"Eric Saubert",MIA,"0","0","0","0","0","0","0","0"
"77",8,"Brycen Hopkins",LAR,"0","0","0","0","0","0","0","0"
"78",8,"Jack Stoll",PHI,"0","0","0","0","0","0","0","0"
"79",8,"Cameron Latu",SF,"0","0","0","0","0","0","0","0"
"80",8,"Grant Calcaterra",PHI,"0","0","0","0","0","0","0","0"
"81",8,"Drew Sample",CIN,"0","0","0","0","0","0","0","0"
"82",8,"Dan Arnold",FA,"0","0","0","0","0","0","0","0"
"83",8,"Jody Fortson",KC,"0","0","0","0","0","0","0","0"
"84",8,"Payne Durham",TB,"0","0","0","0","0","0","0","0"
