"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Travis Kelce",KC,"316.3","152","110","1338","12","2","5","0"
"2",1,"Mark Andrews",BAL,"190.5","113","73","847","5","3","8","0"
"3",1,"T.J. Hockenson",MIN,"215.4","129","86","914","6","0","0","0"
"4",2,"Darren Waller",NYG,"84.8","43","28","388","3","0","0","0"
"5",2,"George Kittle",SF,"200.5","86","60","765","11","0","0","0"
"6",2,"Dallas Goedert",PHI,"141.2","69","55","702","3","0","0","0"
"7",2,"Kyle Pitts",ATL,"75.6","59","28","356","2","0","0","0"
"8",2,"Evan Engram",JAC,"176.9","98","73","766","4","2","13","0"
"9",2,"Pat Freiermuth",PIT,"148.2","98","63","732","2","0","0","0"
"10",3,"David Njoku",CLE,"142","80","58","628","4","2","-8","0"
"11",3,"Dalton Schultz",HOU,"142.7","89","57","577","5","0","0","0"
"12",3,"Tyler Higbee",LAR,"152","108","72","620","3","0","0","0"
"13",3,"Chigoziem Okonkwo",TEN,"97.2","46","32","450","3","3","2","0"
"14",3,"Cole Kmet",CHI,"147.3","69","50","544","7","2","9","0"
"15",3,"Dalton Kincaid",BUF,"0","0","0","0","0","0","0","0"
"16",3,"Gerald Everett",LAC,"139.5","87","58","555","4","1","0","0"
"17",3,"Greg Dulcich",DEN,"86.1","55","33","411","2","0","0","0"
"18",3,"Juwan Johnson",NO,"134.8","65","42","508","7","0","0","0"
"19",4,"Sam LaPorta",DET,"0","0","0","0","0","0","0","0"
"20",4,"Irv Smith Jr.",CIN,"55.2","36","25","182","2","0","0","0"
"21",4,"Hayden Hurst",CAR,"109.9","70","54","439","2","0","0","0"
"22",4,"Hunter Henry",NE,"103.9","59","41","509","2","0","0","0"
"23",4,"Dawson Knox",BUF,"135.7","65","48","517","6","0","0","0"
"24",4,"Mike Gesicki",NE,"98.2","52","32","362","5","0","0","0"
"25",4,"Trey McBride",ARI,"61.5","39","29","265","1","0","0","0"
"26",4,"Zach Ertz",ARI,"115.6","69","47","406","4","0","0","0"
"27",4,"Noah Fant",SEA,"122.6","63","50","486","4","0","0","0"
"28",4,"Michael Mayer",LV,"0","0","0","0","0","0","0","0"
"29",5,"Cade Otton",TB,"93.1","65","42","391","2","0","0","0"
"30",5,"Jelani Woods",IND,"74.2","40","25","312","3","0","0","0"
"31",5,"Taysom Hill",NO,"145.8","13","9","77","2","96","575","7"
"32",5,"Jake Ferguson",DAL,"48.4","22","19","174","2","0","0","0"
"33",5,"Isaiah Likely",BAL,"91.3","60","36","373","3","0","0","0"
"34",5,"Luke Musgrave",GB,"0","0","0","0","0","0","0","0"
"35",5,"Tyler Conklin",NYJ,"131.5","87","58","552","3","2","3","0"
"36",5,"Logan Thomas",WAS,"77.3","61","39","323","1","0","0","0"
"37",5,"Austin Hooper",LV,"97.4","60","41","444","2","0","0","0"
"38",5,"Daniel Bellinger",NYG,"75","35","30","268","2","1","2","1"
"39",6,"Robert Tonyan",CHI,"112","67","53","470","2","0","0","0"
"40",6,"Adam Trautman",DEN,"44.7","22","18","207","1","0","0","0"
"41",6,"Luke Schoonmaker",DAL,"0","0","0","0","0","0","0","0"
"42",6,"Jonnu Smith",ATL,"52","38","27","245","0","1","5","0"
"43",6,"Darnell Washington",PIT,"0","0","0","0","0","0","0","0"
"44",6,"Foster Moreau",NO,"85.2","54","33","420","2","0","2","0"
"45",6,"Albert Okwuegbunam",DEN,"25.5","18","10","95","1","0","0","0"
"46",6,"Donald Parham Jr.",LAC,"29","12","10","130","1","0","0","0"
"47",6,"Noah Gray",KC,"70","34","28","299","1","1","1","1"
"48",6,"Will Dissly",SEA,"86.9","38","34","349","3","0","0","0"
"49",6,"Tucker Kraft",GB,"0","0","0","0","0","0","0","0"
"50",6,"Brevin Jordan",HOU,"26.8","28","14","128","0","0","0","0"
"51",6,"Mo Alie-Cox",IND,"53.9","28","19","189","3","0","0","0"
"52",6,"Cole Turner",WAS,"4.3","9","2","23","0","0","0","0"
"53",6,"Durham Smythe",MIA,"40","20","15","129","1","2","1","1"
"54",7,"C.J. Uzomah",NYJ,"56.2","27","21","232","2","0","0","0"
"55",7,"Harrison Bryant",CLE,"61.7","42","31","239","1","1","8","0"
"56",7,"Kylen Granson",IND,"61.2","40","31","302","0","1","0","0"
"57",7,"Peyton Hendershot",DAL,"39.5","16","11","103","2","1","2","1"
"58",7,"Jordan Akins",CLE,"116.5","54","37","495","5","0","0","0"
"59",7,"Brock Wright",DET,"63.6","24","18","216","4","0","0","0"
"60",7,"Colby Parkinson",SEA,"69.2","34","25","322","2","0","0","0"
"61",7,"Tommy Tremble",CAR,"52.4","32","19","174","3","0","0","0"
"62",7,"Brenton Strange",JAC,"0","0","0","0","0","0","0","0"
"63",7,"Jeremy Ruckert",NYJ,"1.8","2","1","8","0","0","0","0"
"64",7,"Josh Oliver",MIN,"40.9","25","14","149","2","0","0","0"
"65",7,"Hunter Long",LAR,"0","0","0","0","0","0","0","0"
"66",7,"James Mitchell",DET,"28.3","11","11","113","1","0","0","0"
"67",7,"Elijah Higgins",MIA,"0","0","0","0","0","0","0","0"
"68",7,"Josiah Deguara",GB,"24.4","15","13","114","0","0","0","0"
"69",7,"John Bates",WAS,"30.8","22","14","108","1","0","0","0"
"70",8,"Ian Thomas",CAR,"40.7","30","21","197","0","0","0","0"
"71",8,"Zack Kuntz",NYJ,"0","0","0","0","0","0","0","0"
"72",8,"Charlie Kolar",BAL,"8.9","6","4","49","0","0","0","0"
"73",8,"Tre' McKitty",LAC,"17.2","18","10","72","0","0","0","0"
"74",8,"Teagan Quitoriano",HOU,"30.3","14","7","113","2","0","0","0"
"75",8,"Josh Whyle",TEN,"0","0","0","0","0","0","0","0"
"76",8,"Eric Saubert",MIA,"35.8","24","15","148","1","0","0","0"
"77",8,"Brycen Hopkins",LAR,"17.9","11","7","109","0","0","0","0"
"78",8,"Jack Stoll",PHI,"23.3","14","11","123","0","0","0","0"
"79",8,"Cameron Latu",SF,"0","0","0","0","0","0","0","0"
"80",8,"Grant Calcaterra",PHI,"13.1","9","5","81","0","0","0","0"
"81",8,"Drew Sample",CIN,"1.8","2","2","-2","0","0","0","0"
"82",8,"Dan Arnold",FA,"22.5","13","9","135","0","0","0","0"
