,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
ADAM THIELEN,7.5,6.1,0.2,59.6,0.1,0.0,0.4,8.1,128.0,69.4,52.0,66.0,7.5,7.0,95.0,13.6,231.0,62.2,43,62,8.3,7,92,103.0,4.0,1014.0,1.0,0.0,6.0,CAR,137.0,17,13,18,13,31,25,19,19,50,2,168.0,157,1,1.8,0,0.0,0,0.0,14,38.9,9,40.9
ADONAI MITCHELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8,44.0,64.0,7.8,7.0,85.0,0.0,0.0,67.3,48,66,7.6,7,84,0.0,0.0,0.0,0.0,0.0,0.0,IND,0.0,22,19,26,0,0,0,0,0,0,3,148.0,174,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AINIAS SMITH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.1,107.0,134.0,10.4,10.0,144.0,0.0,0.0,127.2,105,134,11.3,10,144,0.0,0.0,0.0,0.0,0.0,0.0,PHI,0.0,6,11,7,0,0,0,0,0,0,5,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AJ BROWN,10.8,6.2,0.4,85.6,0.0,0.0,0.0,9.3,183.6,5.9,3.0,6.0,0.9,2.0,8.0,17.0,289.6,6.8,4,6,0.7,2,8,106.0,7.0,1456.0,0.0,0.0,0.0,PHI,158.0,6,11,7,19,13,56,19,13,69,1,9.0,9,0,0.0,0,0.0,0,0.0,15,30.6,7,41.2
ALEC PIERCE,3.7,1.9,0.1,30.2,0.0,0.0,0.0,3.8,63.4,96.3,79.0,99.0,10.1,8.0,131.0,5.6,95.4,97.8,81,100,10.1,8,130,32.0,2.0,514.0,0.0,0.0,0.0,IND,65.0,22,19,26,0,69,13,0,75,6,4,500.0,500,0,0.0,0,0.0,0,0.0,6,10.2,2,8.0
ALEX ERICKSON,3.6,2.0,0.1,29.0,0.0,0.0,0.0,3.6,29.2,208.0,191.0,227.0,17.0,13.0,225.0,5.7,45.2,198.5,183,222,15.5,12,214,16.0,1.0,232.0,0.0,0.0,0.0,FA,29.0,33,33,33,0,71,14,0,71,14,0,500.0,500,0,0.0,0,0.0,0,0.0,2,2.7,0,0.0
ALLEN LAZARD,2.6,1.6,0.1,22.2,0.0,0.0,0.0,3.5,37.1,113.0,93.0,120.0,14.8,9.0,157.0,4.3,60.1,114.5,91,121,15.0,9,157,23.0,1.0,311.0,0.0,0.0,0.0,NYJ,49.0,16,20,12,0,79,7,0,86,7,4,500.0,500,0,0.0,0,0.0,0,0.0,2,4.1,2,6.5
ALLEN ROBINSON,1.6,2.0,0.0,16.5,0.0,0.0,0.0,2.9,28.0,166.8,127.0,174.0,20.1,11.0,188.0,3.6,62.0,161.2,125,173,17.6,11,175,34.0,0.0,280.0,0.0,0.0,0.0,NYG,49.0,4,23,1,0,94,0,0,81,0,5,500.0,500,0,0.0,0,0.0,0,0.0,4,9.5,3,16.7
AMARI COOPER,10.3,4.8,0.3,83.3,0.0,0.0,0.0,8.5,155.0,21.2,12.0,20.0,3.4,4.0,31.0,15.1,227.0,24.3,16,25,3.4,4,33,72.0,5.0,1250.0,0.0,0.0,0.0,CLE,128.0,26,18,30,20,40,40,20,33,53,1,56.0,68,0,0.0,0,0.0,0,0.0,13,20.3,5,17.2
AMON-RA ST BROWN,13.2,7.4,0.6,94.7,0.3,0.0,1.5,10.3,211.9,5.0,2.0,5.0,0.8,1.0,7.0,20.7,330.9,3.5,1,4,0.9,1,6,119.0,10.0,1515.0,4.0,0.0,24.0,DET,164.0,24,30,11,13,7,80,20,7,80,1,7.5,7,1,0.9,0,0.0,0,0.0,23,35.4,12,34.3
ANDREI IOSIVAS,2.2,0.9,0.3,7.3,0.0,0.0,0.0,1.6,35.6,97.9,67.0,97.0,11.6,8.0,134.0,3.2,50.6,97.5,65,97,11.5,8,134,15.0,4.0,116.0,0.0,0.0,0.0,CIN,25.0,27,27,23,0,85,0,0,85,0,4,500.0,500,0,0.0,0,0.0,0,0.0,5,6.8,4,10.8
ANTHONY GOULD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.6,137.0,178.0,23.2,11.0,195.0,0.0,0.0,161.4,137,177,21.3,11,187,0.0,0.0,0.0,0.0,0.0,0.0,IND,0.0,22,19,26,0,0,0,0,0,0,7,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ANTOINE GREEN,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.2,0.2,163.0,152.0,195.0,14.2,12.0,183.0,0.1,1.2,164.7,147,194,16.7,11,187,1.0,0.0,2.0,0.0,0.0,0.0,DET,2.0,24,30,11,0,100,0,0,100,0,5,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AT PERRY,4.9,1.2,0.4,24.6,0.0,0.0,0.0,1.8,48.6,91.3,67.0,89.0,8.3,8.0,109.0,6.1,60.6,94.8,75,92,7.9,8,119,12.0,4.0,246.0,0.0,0.0,0.0,NO,18.0,15,21,10,0,67,11,0,78,0,3,500.0,500,0,0.0,0,0.0,0,0.0,4,6.2,2,6.1
AUSTIN MACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.5,110.0,200.0,30.5,12.0,171.0,0.0,0.0,143.0,111,203,32.0,12,175,0.0,0.0,0.0,0.0,0.0,0.0,ATL,0.0,20,8,29,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUSTIN TRAMMELL,0.1,0.3,0.0,1.9,0.0,0.0,0.0,0.5,0.9,228.5,212.0,233.0,16.5,13.0,245.0,0.3,4.9,225.5,215,234,10.5,13,236,4.0,0.0,29.0,0.0,0.0,0.0,JAC,7.0,32,31,21,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BEN SKOWRONEK,0.8,0.5,0.1,3.9,0.1,0.0,0.5,0.7,13.5,198.5,156.0,213.0,32.7,12.0,248.0,1.3,21.5,197.3,159,212,28.4,12,239,8.0,1.0,66.0,2.0,0.0,9.0,HOU,12.0,31,32,16,0,93,0,0,93,0,7,500.0,500,0,0.0,0,0.0,0,0.0,1,1.4,1,2.4
BO MELTON,7.5,4.0,0.3,54.5,0.8,0.0,5.3,6.0,29.9,114.9,96.0,118.0,10.8,9.0,142.0,11.5,45.9,114.5,96,117,10.6,9,142,16.0,1.0,218.0,3.0,0.0,21.0,GB,24.0,5,5,17,0,50,25,0,50,25,5,500.0,500,0,0.0,0,0.0,0,0.0,3,3.3,2,5.4
BRANDIN COOKS,7.5,3.4,0.5,41.1,0.3,0.0,2.2,5.1,119.2,54.7,45.0,55.0,4.8,6.0,68.0,10.8,173.2,56.2,44,56,5.5,6,76,54.0,8.0,657.0,5.0,0.0,35.0,DAL,81.0,1,1,2,7,47,40,7,53,33,2,148.0,171,3,2.9,0,0.0,0,0.0,12,11.5,9,17.6
